ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_3,Map3,The Alor-Pantar languages,,,,,schapper2020papuan,,map,
1,Abui,,,,abui1241,2020,schapper2020papuan,features,feature,map_3
2,Adang,,,,adan1251,2020,schapper2020papuan,features,feature,map_3
3,Blagar,,,,blag1240,2020,schapper2020papuan,features,feature,map_3
4,Bukalabang,,,,blag1240,2020,schapper2020papuan,features,feature,map_3
5,Di'ang,,,,,2020,schapper2020papuan,features,feature,map_3
6,Hamap,,,,hama1240,2020,schapper2020papuan,features,feature,map_3
7,Kabola,,,,kabo1247,2020,schapper2020papuan,features,feature,map_3
8,Kaera,,,,kaer1234,2020,schapper2020papuan,features,feature,map_3
9,Kafoa,,,,kafo1240,2020,schapper2020papuan,features,feature,map_3
10,Kamang,,,,kama1365,2020,schapper2020papuan,features,feature,map_3
11,Kiraman,,,,kira1248,2020,schapper2020papuan,features,feature,map_3
12,Klon,,,,kelo1247,2020,schapper2020papuan,features,feature,map_3
13,Kui,,,,kuii1254,2020,schapper2020papuan,features,feature,map_3
14,Kula,,,,kula1280,2020,schapper2020papuan,features,feature,map_3
15,Manet,,,,mane1265,2020,schapper2020papuan,features,feature,map_3
16,Moo,,,,,2020,schapper2020papuan,features,feature,map_3
17,Nedebang,,,,nede1245,2020,schapper2020papuan,features,feature,map_3
18,Papuna,,,,papu1257,2020,schapper2020papuan,features,feature,map_3
19,Reta,,,,rett1240,2020,schapper2020papuan,features,feature,map_3
20,Sar,,,,sarr1247,2020,schapper2020papuan,features,feature,map_3
21,Sawila,,,,sawi1256,2020,schapper2020papuan,features,feature,map_3
22,Suboo,,,,sibo1242,2020,schapper2020papuan,features,feature,map_3
23,Teiwa,,,,teiw1235,2020,schapper2020papuan,features,feature,map_3
24,Tiee,,,,tiay1238,2020,schapper2020papuan,features,feature,map_3
25,Wersing,,,,wers1238,2020,schapper2020papuan,features,feature,map_3
26,Western Pantar,,,,lamm1241,2020,schapper2020papuan,features,feature,map_3
